president,sentence
macri,Los dos nombres que voy a proponer a la gente van a ser dos personas que tengan que cumplir tres condiciones: no estar embanderados políticamente no ser personas conocidas ni cercanas al Presidente y ser prestigiosos juristas” (APLAUSOS) Pasó un año y ahora quiero compartir con ustedes para darnos ánimo y energía para todo lo que nos falta que es mucho treinta medidas algunas recorrió Stegmann en su muy buen discurso la verdad que podría firmar y decir “vamos a comer” porque adhiero a todo lo que dijo el señor pero no me lo aceptarían así que acá estamos: fin del cepo; acuerdo con los holdsouts; eliminación de retenciones a las exportaciones y ahora a partir de la semana pasada devolución y reintegro de impuestos en las exportaciones en todas las economías regionales; la Ley de Pymes y beneficios para los emprendedores; integración al mundo; reconstrucción de las estadísticas públicas; metas de inflación.
macri,En medidas sociales muchísimas: Reparación Histórica que no solo tiene que ver con la Justicia sino que también tiene que ver con volver a poner en valor la cultura del trabajo si a aquellos que han trabajado que le han dado todo al país la sociedad no los reconoce es que no estamos realmente poniendo este valor como un elemento fundamental de nuestro futuro.
macri,Extensión de las asignaciones familiares; ampliación de la Asignación Universal por Hijo; Pensión Universal al Adulto Mayor; Tarifa Social Federal; Cobertura universal de salud; Espacio de primera infancia tenemos de construir 4.000 y ya comenzamos; 3.000 jardines que ya comenzamos; devolución de IVA para aquellos que tienen Asignación Universal o cobran el haber mínimo;  El Estado en tu Barrio que es una innovación que realmente está funcionando increíblemente bien seguramente Caro Stanley que vi que está invitada les va a contar pero es todo el Estado junto bajando al mismo tiempo en el mismo lugar para incluir contener.
macri,Aumento del seguro de desempleo; suba del Impuesto a las Ganancias en un 160 por ciento; el Plan de Acceso a Internet Movil en más 1.300 ciudades además del cambio a celulares inteligentes que ya logramos 500.000; aumento del alcance a la AUH.
macri,En el tema narcotráfico: mejora de condiciones en las Fuerzas de Seguridad en equipamiento y salarios; radarización 24 horas del espacio aéreo; Acuerdo Federal para la lucha contra el narcotráfico por primera vez en la historia firmamos con todos los gobernadores todos trabajando en conjunto todos sentimos que esto es algo grave que lo compartimos que no lo negamos y estoy seguro de que trabajando en conjunto lo vamos a ir resolviendo.
macri,Y el Plan de Infraestructura que llamamos el más importante de la historia con un Plan Ferroviario con infraestructura vial 6.500 kilómetros de rutas 2.800 de autopistas el Plan Nacional de Agua el Plan Nacional de Viviendas el de Hábitat el de Inundaciones el de Energía.
macri,Todas cosas pasaron este año.
macri,Y la verdad que también pasaron otras cosas que también son muy buenas que en este cambio de clima no solo con el Foro sino en hecho reales tuvimos anuncios de 48.000 millones de dólares de inversiones a realizarse entre acá a fines de 2019 y eso marca realmente un enorme compromiso del empresariado internacional del empresariado local apostando a esta nueva etapa de la Argentina en la cual yo creo que más allá de todo esto que les he mencionado y que he compartido yo digo que lo más importante que hemos logrado entre todos aquellos que apostamos por el cambio es volver a tener un clima de sana convivencia es tan importante volver a levantarte todos los días con ganas de decir “a ver qué puedo hacer para mejorar la realidad sin agresión sin que nadie se crea el dueño de la verdad y es más poniendo la verdad como una palanca fundamental para poder cruzar ese puente hacia el futuro”.
macri,Esto no significa que las cosas que tengamos por delante vayan a ser fáciles  nunca lo fueron y nunca lo van a ser y menos hoy en este mundo que se presenta lleno de desafíos dónde uno mira dónde uno va hay conflictos hay crisis pero también hay oportunidades.
macri,Los argentinos tenemos algunas yo diría enormes ventajas tenemos una agenda de corto plazo que yo hasta llamaría “accesible” en la cual casi todos estamos de acuerdo que comienza por duplicar la producción de alimentos que sabemos que tenemos con qué y agregarle valor marca sofisticación para encontrar los nichos.
