president,sentence
macri,O en los hechos comerciales donde se falsifican y adulteran balances.
macri,En un país como el que nosotros queremos como nosotros amamos y queremos ser respetados el que hace eso de ser el que demanda tiene que pasar a ser el que va preso.
macri,Es algo que tenemos que demandarles a nuestros jueces y demandarle a la sociedad que si todos nos estamos comprometiendo con la verdad la verdad comienza por que aquel que administra la ley no pueda aceptar que se le mienta es un elemento central.
macri,En ninguno de estos países en los cuales nos referenciamos- ahora queremos entrar a la OCDE que tiene toda una cantidad de parámetros- eso puede suceder a nadie se le ocurre se mueren de miedo se preparan días para ir a declarar frente al juez a ver qué pueden decir y qué no pueden decir porque se equivocan en una comilla y pasan del que ataca a ser el que se defiende.
macri,Creo que esas son tres cosas centrales las cuales les pido que las incorporemos en el día a día de lo que estamos haciendo y entendiendo que esto que estamos construyendo es algo inédito en la historia de la Argentina y es algo que se comenta en el mundo entero porque vemos lo que pasa con los sistemas democráticos en el mundo hoy como están en jaque con esta demanda de expectativas infinitas los apoyos que hay en los distintos países de la región a los otros presidentes en el mundo entero.
macri,Y acá tenemos esos números que mencionaba Marcos es inédito lo que se está logrando pero se logra primero y principal por una decisión de una mayoría de argentinos que ha decidido apostar al futuro apostar realmente a desarrollar cada uno su capacidad.
macri,Nosotros estamos acá porque ellos lo decidieron contra viento y marea y si no nos olvidamos nunca de eso este camino es un camino que recién comienza y donde cada día les aseguro vamos a estar un poquito mejor.
macri,Muchas gracias a todos y a trabajar.
macri,Buenos días.
macri,La verdad es que estamos muy contentos quiero felicitarlos a todos muchachos por el trabajo.
macri,Acá vinimos con la Gobernadora con el Ministro con los intendentes con el responsable de Vialidad el 11 de diciembre a la mañana a las 8 de la mañana del 11 de diciembre estuvimos acá y prometimos que después de cuatro años de iniciado para marzo iba a estar inaugurado este puente permitiendo que la gente vuelva a cruzar por acá sin tener que utilizar el ripio recuperando minutos valiosos todos los días y asegurándonos de cuidarlos un poco más.
macri,Este es el comienzo solamente el comienzo de una cantidad de obras que van en esa dirección: lograr que los argentinos tengan más tiempo para estar con su familia o más tiempo para trabajar o para estudiar o para decidir -¿no es cierto María Eugenia?- qué es lo que quieren hacer con su vida ¿Por qué?
macri,Porque hay un Gobierno que se ocupa de resolver los temas concretos esas cosas que nos cambian la vida porque las palabras pueden ser muy lindas pero lo que realmente produce un cambio en la vida de cada uno son las obras las transformaciones concretas.
macri,Todos sabemos que este país por suerte ha crecido en su capacidad de producir granos que exportamos y que tenemos como desafío producir más en esta cosecha y en las próximas cosechas porque ya el campo argentino está trabajando con toda su energía para producir ese crecimiento.
macri,Y además soñamos con dejar de exportar esos granos para exportar alimentos con marca que significará que se llenarán de plantas y de fábricas todas estas rutas para transformar el trigo en fideos en galletitas y para transformar el maíz en cereales para el desayuno la leche en quesos y así sucesivamente.
macri,Por eso necesitamos mejores más amplias y más seguras rutas y en eso estamos empeñados ¿no es cierto Ministro?
macri,En los próximos cuatro años vamos más que a duplicar las autovías las autopistas o autovías como las llamemos en la República Argentina.
macri,Y esta es una que empieza con este puente que prometimos en 90 días pero para fin de este año ya vamos a estar llegando a Areco.
macri,Para fin de 2018 a Arrecifes y espero que sea para mediados de 2019 a Pergamino y ello será una etapa fundamental.
macri,Y lo mismo con las demás rutas en las cuales estamos trabajando.
macri,Y lo que más me genera alegría y me da tranquilidad es saber que vamos a cuidar la vida de los cientos de miles de argentinos que viajan por nuestras rutas porque no podemos seguir conviviendo con más de 9 mil muertos por año producto de la no inversión producto del Estado que abandona a la gente que abandona a los ciudadanos y no invierte en los impuestos que cobra en estas soluciones concretas que nos acercan no sólo a mayor seguridad sino al crecimiento crecimiento que nos lleva a la Argentina de pobreza cero que todos queremos.
macri,Entonces felicitaciones Iguacel por el trabajo de Vialidad felicitaciones CHEDIAK la empresa que ha terminado y ha cumplido esta primera etapa comprometida en plazos y en calidad.
macri,Felicitaciones muchachos por el trabajo hecho -son todos hinchas de Boca me dijeron acá así que mucho mejor todavía- felicitaciones realmente a todos.
macri,Creamos en nosotros mismos sepamos que cuando los argentinos trabajamos juntos somos capaces de hacer cosas muy buenas de hacer cosas maravillosas.
macri,El mundo nos está abriendo la mano el mundo nos visita nos invita a trabajar juntos y nosotros estamos listos para hacerlo porque juntos los argentinos trabajando con el resto del mundo vamos a crecer va a haber trabajo va a haber oportunidades de progreso para todos.
macri,Este es el camino: cumpliendo la palabra diciendo la verdad y realmente esforzándonos porque cada día podamos creer más el uno en el otro.
macri,Muchas gracias a todos.
macri,PALABRAS DEL PRESIDENTE MACRI EN LA PROVINCIA DE JUJUY Buenas tardes queridos amigos de San Pedro.
macri,Una vez más no escucho ¿está la gente de San Pedro acá?
macri,Un cariño muy grande para todos los jujeños para todos los salteños que nos han…sí se puede sí señor por eso estamos acá porque se puede.
macri,Estamos acá para empezar a cumplir dos compromisos: el primero unir a los argentinos; el segundo lograr una Argentina con pobreza cero.
macri,Sé que cuando hablamos de unir a los argentinos queridos gobernadores hablamos de valores hablamos de escucharnos de respetarnos de trabajar en equipo pero también hablamos de cosas concretas.
macri,Eso concreto que estamos hoy comprometiendo comenzando es que el Norte argentino se pueda conectar se pueda comunicar entre sí se pueda comunicar con el resto del país con el mundo entero que el trabajo que lo que ustedes hacen llegue al resto del país y llegue a cada hogar del mundo.
macri,Porque eso es lo que queremos que el trabajo de calidad que va a nacer en el Norte argentino sea reconocido y les permita a ustedes progresar.
macri,Por eso hoy Gerardo Juan Manuel que lo hemos hablado a lo largo de estos meses teníamos durante años y años este compromiso de hacer autovía estas rutas tan importantes.
macri,Empezar por terminar la 9 hasta Jará que faltan pocos kilómetros y que se abandonó hace más de un año y ahora la vamos a terminar en pocas semanas.
macri,Y la 34 para que antes del 2019 los jujeños los salteños los tucumanos todos los turistas que vienen los camiones puedan circular con seguridad con tranquilidad por una autovía iluminada señalizada que una a Tucumán Salta y Jujuy y que no haya más accidentes que no tengamos que lamentar la pérdida de vidas de nuestros hermanos que habitan estas provincias.
macri,Y quiero decirles también que este Aeropuerto de Jujuy junto al de Salta tienen como destino ser la puerta de entrada del mundo al Norte de este maravilloso país.
macri,Este Norte que va a ser realmente un elemento de atractividad única que cada uno de aquellos que los hemos ido visitando y conociendo nos enamoramos de la hospitalidad del afecto que nos dan los que lo habitan.
macri,Por eso quiero que esto que hemos disfrutado aquellos que hemos llegado hasta acá que lo disfruten todos los ciudadanos del mundo que nos visiten que le vamos a dar afecto cariño cuidado y ellos nos van a dar trabajo que es lo que necesitamos.
macri,Porque el sueño que todos tenemos y es mi compromiso que cuidarlos significa lograr que no haya más jujeños ni salteños ni tucumanos ni correntinos que tengan que abandonar sus ciudades sus comunidades porque ahí no hay trabajo.
macri,Vamos a trabajar juntos para que el trabajo esté acá y que ustedes puedan vivir y desarrollarse junto a sus familias que es lo que todos queremos que es lo que todos ustedes quieren: trabajo de calidad.
macri,Por eso también protegiendo esa fuente de trabajo es que hemos también cumplido una promesa de campaña.
macri,Y acá me acompaña José Cano que es el responsable de monitorear y conducir el Plan Belgrano que es ese plan de reparación histórica para el Norte argentino.
macri,Y con José vamos a cuidar que cada uno de los proyectos que van de rutas el Belgrano Cargas energía jardines de infantes obras hidráulicas todo se vaya haciendo en tiempo y forma para que estos sueños que tenemos se hagan realidad.
macri,Entonces hoy estamos poniendo en marcha esta terminación de la 9 la 34 algunos puentes.
macri,Gerardo siempre manguea alguna cosa más pero está bien él tira para los jujeños.
macri,Es un buen Gobernador cuida a su Provincia y pide más.
macri,Y yo querría darles todo todo lo que podamos hacer porque de eso se trata.
macri,Porque ya poniendo en marcha estas obras se generarán miles de puestos de trabajo que es lo que todos queremos traer la alegría de ver que nuestros hijos salen a trabajar que esa es mejor forma de crecer es el camino de la dignidad.
macri,Por eso también haber ido de 10 a 12 la mezcla de bietanol en naftas significa garantizar los puestos de trabajo de nuestros cañeros.
macri,Y esto va a seguir y por eso le pido a los ingenios que inviertan que se tecnifiquen que se modernicen porque tenemos que seguir.
macri,Y también es muy importante eso porque tiene que ver con colaborar en cuidar el medio ambiente.
macri,Y con Jujuy vamos a anunciar más cosas en algunas horas que van a mostrar un liderazgo de esta Provincia.
macri,Y también que no es menor aparte de las rutas y el Aeropuerto es ocuparnos de mejorar el sistema de transporte público.
macri,Porque es ahí donde viaja la mayoría de los argentinos.
macri,Tenemos que invertir en tener mejores líneas en tener metrobuses en todo el país y en tener un sistema de pago simple como el SUBE que llegue también a Jujuy.
macri,Lo estamos poniendo en marcha estamos poniendo en marcha el SUBE para también implementar el boleto estudiantil.
macri,¿No es cierto Gobernador?
macri,Por eso les quiero decir hoy gracias por estar acá gracias por haber creído porque el Norte argentino creyó que se podía; gracias por aspirar a vivir mejor gracias por creer que juntos vamos a construir el país que soñamos.
macri,De esto se trata juntos.
macri,Y siempre acuérdense que los argentinos unidos trabajando codo a codo como mostramos hoy sin importar el partido político al cual pertenezcamos sino teniendo en cuenta qué es lo que necesita el argentino que es trabajo oportunidades seguridad combatir –que es el tercer compromiso- el narcotráfico y echarlo de este país eso lo vamos a lograr juntos juntos juntos somos imparables.
macri,Así que los invito una vez más a que trabajemos de esta manera codo a codo y gracias.
macri,¿Y cómo es?
macri,Sí se puede sí se puede no escucho sí se puede.
macri,¡Vamos Jujuy vamos el Norte vamos Argentina!
macri,Gracias a todos.
macri,(APLAUSOS)
macri,Buen día a todos.
macri,Gracias Gobernadora por acompañarme sé que ayer estuvo en el Congreso planteando un reclamo muy justo para todos los bonaerenses y estoy seguro que en esta Argentina del diálogo le va a ir bien.
macri,Le va a ir bien para que le vaya bien a toda la gente que habita esta maravillosa provincia.
macri,Pero hoy los quiero convocar y quiero reflexionar con ustedes no como el Presidente de la República sino como un ciudadano más que trata de compartir sus angustias sus preocupaciones y también sus sueños.
macri,Quiero transmitirles la enorme confianza y tranquilidad que tengo en el camino que hemos emprendido.
macri,Estoy seguro que este camino es el que nos lleva a ese futuro que soñamos y que todos merecemos.
macri,Y no se los digo del lugar de aquel líder que cree que lo sabe todo porque yo siempre les dije durante la campaña que si buscaban un mago ese no era yo.
macri,Los magos había que ir a verlos a Las Vegas donde dicen que está Copperfield; y que los problemas que heredamos no se resuelven de un día para el otro.
macri,Pero sí les dije que los íbamos a resolver dando pequeños pasos todos los días.
macri,Y eso es lo que hemos empezado a hacer.
macri,Por eso estoy seguro que en un año vamos a comenzar a ver los frutos de este camino que hemos empezado a recorrer.
macri,Pero también les digo que seguimos en un debate que lleva años un debate en el cual aquellos que nos gobernaron hasta hace poco piensan que como modelo de nuestra economía como modelo de nuestras vidas tiene que haber un Estado que nos someta a todos.
macri,Porque ellos creen que los argentinos no podemos vivir en libertad.
macri,Por eso nos proponen leyes que congelan el empleo cepos al trabajo sin importarles todos aquellos que hoy trabajan en negro o los que no tienen trabajo y sin importarles que esa ley va a traer más pobreza ¿Y por qué?
macri,Porque claramente aquellos que están en la pobreza son más fáciles de manipular de someter; porque ellos tienen miedo a que podamos ejercer esa libertad.
macri,El crecimiento el desarrollo de cada uno de los argentinos en libertad les va a permitir decidir y es justamente en lo que yo creo en lo que la mayoría de los argentinos estamos creyendo.
macri,Y por eso queriendo trabar ese progreso es que proponen leyes que apuntan a que no podamos avanzar leyes que desconfían de lo que somos capaces de hacer los argentinos si ganamos esa libertad.
macri,Y lo peor es que hoy podemos ver en nuestro celular testimonios de la ex Presidenta del ex Jefe de Gabinete diciendo que este tipo de leyes son malas hace poco tiempo atrás sólo un par de años o meses ellos decían: “este tipo de leyes no generan más empleo no son buenas para el progreso ” ¿Y qué pasa ahora?
macri,¿Por qué la impulsan?
macri,Porque desde la política quieren ponernos palos en las ruedas no quieren que progresemos no quieren que tengamos estas nuevas oportunidades.
macri,Es más dicen “no queremos que le vaya bien a este Gobierno” sin importarles que si le va mal a nuestro Gobierno lo importante no es que le vaya mal a este Presidente lo importante es que le va mal a todos los argentinos le va mal a todos los bonaerenses a los trabajadores de Cresta Roja a todos porque vivimos en este país gracias a Dios porque este país es un país maravilloso.
macri,Pero por eso votamos este cambio y por eso vamos a seguir votando a favor de nuestra libertad.
macri,Este cambio fijó un eje central que tiene que ser caminar juntos hacia pobreza cero.
macri,Sabemos -insisto- que no es de hoy para mañana.
macri,Sabemos que hemos heredado una situación difícil: cinco años sin generar empleo en este país empleo de calidad.
macri,Pero lo bueno es que comenzamos lo bueno es que ya empezamos a generar y a regar esta plantita que se llama confianza que a medida que vaya creciendo va generando más entusiasmo alrededor de nosotros de cada uno de los argentinos en nuestra potencialidad.
macri,Por eso hay tantas empresas locales y extranjeras estudiando en qué invertir comenzando a invertir.
macri,Y por eso también me fue simple me fue fácil convocarlos hace algunas semanas a Casa de Gobierno y cientos de empresas firmaron que no iban a despedir trabajadores por los próximos noventa días.
macri,Pero además muchos de ellos dijeron “no sé para qué firmamos esto porque nosotros estamos pensando en tomar gente porque estamos viendo hoy a la Argentina con optimismo”.
macri,Y también no durmiéndonos en eso hemos impulsado una Ley Primer Empleo para que los jóvenes que hoy trabajan en Cresta Roja -no vos que estás bastante jovato hablo de los jóvenes- puedan acceder a ese primer trabajo con facilidad.
macri,Y también hemos impulsado medidas mientras esperamos la Ley Pyme que destraban el funcionamiento de las Pymes medidas que hace más de veinte años se reclamaban porque asfixiaban a nuestras pequeñas empresas.
macri,¿Y qué queremos todos?
macri,Que las pequeñas empresas crezcan se transformen en medianas empresas después en grandes empresas.
macri,¿Por qué?
macri,Porque ese crecimiento es acompañado con más trabajo para los argentinos.
macri,Y las grandes empresas después requieren de nuevas pequeñas empresas que trabajen para ellas; y ese crecimiento de cada una de esas unidades que son argentinos trabajando lleva al crecimiento del conjunto.
macri,Yo estoy comprometido a cuidar a los argentinos y a ayudarlos a que todos crucemos ese puente que les he invitado a construir entre lo que somos y lo que podemos y vamos a ser.
macri,Y por eso hemos tomado muchísimas medidas para ayudar a este momento: más de un millón de chicos más tienen hoy Asignación Universal por Hijo; más asignaciones familiares más para aquellos que trabajan en forma temporaria aún cuando no trabajan; medidas para los jubilados.
macri,Ayer o anteayer se aprobó la ley por la cual le devolvemos el IVA de la canasta básica a aquellos que cobran las mínimas y muchas medidas más que tratan de acompañar este proceso esta transición entre este momento difícil y ese futuro que estamos construyendo.
macri,Y quise volver acá quise volver acá porque esta es una demostración de cómo tenemos que trabajar.
macri,Cresta Roja fue otra de las cosas rotas que nos dejó el gobierno saliente: una empresa que estaba quebrada había abandonado su tarea.
macri,Y no sacamos una ley arbitraria no impusimos un decreto.
macri,Nos sentamos con la Gobernadora con el Ministro de Trabajo con el Ministro de Producción de la Nación de la Provincia con los sindicatos con los trabajadores buscamos un buen empresario que nos ayude en la re-operación o sea en la puesta en marcha de la fábrica de la planta.
macri,Y comenzamos incipientemente y de la última vez que vine a hoy 50% más de empleados cinco turnos más.
macri,Eso demuestra la forma en que tenemos que trabajar que es escuchándonos dialogando.
macri,Este es el camino esta es la forma no hay otra créanme que no hay otra: éste es el camino.
macri,Por eso hoy en uso de esta facultad constitucional que tengo voy a vetar la ley que para mí es anti-empleo.
macri,Una ley contra los argentinos una ley que demuestra que no confiamos en nuestro futuro.
macri,Por eso les digo que aquellos que me dijeron: “Pero mirá no te conviene es demagógico te vas a ahorrar esos bombos por ejemplo te conviene dejar que pase”.
macri,Y yo dije yo no vine acá para hacer lo que a mí me conviene yo vine acá para ayudar a que los argentinos tengan una mejor oportunidad.
macri,Y me hizo acordar –le dije a él- apenas comencé en Boca hace 22 años –ha pasado mucho tiempo estoy bastante jovato- no sé si se acordarán algunos de los boquenses aquí presentes.
macri,Apenas arranqué se planteó la situación de que muchos querían que Maradona fuese el técnico de Boca.
macri,Y yo pensaba más allá de mi afecto y mi admiración por Maradona que en ese momento debido a sus problemas personales él no era el mejor técnico para Boca.
macri,Y vinieron a decirme: “pero mirá no te conviene dejá que…” Y yo dije ¿cómo voy a hacer algo que yo pienso que es malo para Boca?
macri,Yo tengo que hacer lo que pienso que es bueno para Boca y si es bueno para Boca a la larga va a ser bueno para mí también.
macri,Y eso que hice me llevó a obtener 17 títulos.
macri,Y si ya pensaba de esa manera en ese momento a los 35 años hoy con 57 mucho más firme en mis convicciones les quiero decir que yo no les voy a mentir.
macri,Yo me comprometí a decirles la verdad y por eso en cada ocasión voy a hacer lo que piense que es mejor para su futuro no para este Presidente.
macri,Y además lo voy a hacer porque los respeto porque confío en ustedes.
macri,Yo sé que más libertad les va a dar más progreso y yo creo en la creatividad en la capacidad en la tenacidad de los argentinos.
macri,Y sé que si nos sabemos organizar que es lo que siempre nos ha faltado si sabemos cimentar y hacer crecer esta confianza que está naciendo en la Argentina este proceso de inversión nos va a llevar a más y más trabajo.
macri,Y más trabajo es más futuro es más alegría es más amor es más familia.
macri,Por eso valoro también mucho que nos hayamos reunido ayer en el Consejo del Salario Ministro con las empresas las cámaras y los trabajadores para no sólo dignificar el salario mínimo no sólo pasar de 400 pesos a 3.000 el seguro de desempleo después de una década que no se ajustaba sino para abrir las mesas de discusión de productividad porque la productividad –como decía el General Perón- es la estrella polar que tiene que guiar a este país.
macri,Porque en esa mesa vamos a defender y crear nuevo trabajo trabajo que compite con nuestros hermanos de Latinoamérica con los hermanos del mundo porque todos quieren trabajo.
macri,En todas partes hay gente preocupada por conseguir un trabajo no es sólo nuestra preocupación: en Asia en Europa en Estados Unidos en América Latina.
macri,Por eso tenemos que ser inteligentes estar juntos creer en nosotros porque somos gente capaz y el mundo como nunca antes nos ha abierto una puerta.
macri,Ese mismo mundo que nos compite también quiere venir acá a invertir porque cree en ustedes.
macri,Cree en lo que vos sos capaz de hacer.
macri,Entonces digámosle: acá estamos bienvenidos confiamos en nosotros mismos.
macri,No vamos a poner trabas vamos a sumar vamos a dialogar.
macri,Y espero dialogar todos los días: con los trabajadores con las empresas con los Gobernadores para que tengamos una Argentina federal una Argentina apostando por este futuro que tanto soñamos y tanto merecemos.
macri,Por eso les digo gracias gracias por acompañarme y necesito que sigamos juntos.
macri,Gracias a todos.
macri,PALABRAS DEL PRESIDENTE DE LA NACIÓN MAURICIO MACRI EN SU RECORRIDA POR LAS OBRAS DE INFRAESTRUCTURA CLOCAL EN LA PROVINCIA DE CÓRDOBA  Buen día buen día ¿cómo andan?
macri,Yo feliz de estar acá otra vez en Córdoba visitando otra localidad el Intendente me decía que no venía desde que era Jefe de Gobierno o sea que en estos dos años he visitado muchas veces Córdoba es la décima vez que vengo a visitar mi provincia Córdoba es mi provincia.
macri,(APLAUSOS) La verdad que lo más lindo es siempre tener la oportunidad de conocer algún cordobés más que alguno más me transmita esta convicción que tienen de que se puede que juntos estamos construyendo esa Argentina que soñamos durante muchos años durante mucho tiempo.
macri,Y hoy es haciendo una obra que el Intendente me decía que hacía sesenta años que no se hacían obras que tuviesen que ver con el saneamiento en San Francisco y por suerte San Francisco creció pero lamentablemente no lo acompañó la infraestructura y eso trajo muchos problemas.
macri,Con esta obra que estamos haciendo en conjunto con la provincia y que se va a terminar esperemos como decía el Gobernador a mediados del 2019 y vamos a tener más capacidad de saneamiento de tratamiento de transporte de los líquidos cloacales con una nueva cloaca máxima y eso va a dar tranquilidad de que los chicos van a poder jugar en la calle sin miedo a infecciones que generalmente traen este tipo de problemas.
macri,Esto va a traer calidad de vida para los habitantes de San Francisco que queremos y necesitamos que crezca que crezca y que impulse porque como dijo el Gringo: “Córdoba es el gran motor de la Argentina” y San Francisco es una parte importantísima de ese gran motor.
macri,Por eso también recién volamos y supervisamos con el Gringo y con el ministro Dietrich el avance de la autopista que vamos a hacer para reemplazar o agregar a la Ruta 19 que va a quedar como una interconexión provincial ¿Por qué?
macri,Porque queremos cuidar a los cordobeses no queremos que más cordobeses se maten en una ruta que no da abasto con lo que ustedes están produciendo y con la necesidad de conectarse que tienen.
macri,Y además esta autopista va a generar un impulso al desarrollo de la región un impulso enorme; por eso estamos encarando el Plan de Infraestructura más importante de nuestra historia que incluye muchas rutas en Córdoba y en todo el país energía puertos aeropuertos.
macri,Hoy estamos conectando la Argentina al mundo y la estamos conectando en forma general; no queremos más que ningún cordobés tenga que ir hasta Aeroparque y de Aeroparque a Ezeiza para salir al mundo; queremos que los cordobeses salgan directamente al mundo y el mundo venga directamente a Córdoba porque eso es federalismo.
macri,Por eso estamos ampliando lo que ampliamos hace dos años e inauguramos con vos Gringo que ya quedó chico.
macri,Así que vamos a empezar nuevamente obras en el Aeropuerto de Córdoba.
macri,Y en breve sueño que también el Aeropuerto de Río Cuarto quede chico porque ya pasamos de una a dos frecuencias diarias.
macri,Y esto va a seguir avanzando ¿Por qué?
macri,Porque ustedes los cordobeses tienen mucho para proponer mucho para aportar no solo a la Argentina mucho para aportarle al mundo y para eso necesitamos estar conectados con el mundo necesitamos ser parte del mundo.
macri,Y en estas semanas tenemos la Convención de la OMC en la Argentina por primera vez en la historia de la región.
macri,Y todo el año que viene vamos a ser Sede del G-20 también por primera vez en la historia de la región: la Argentina en el centro del mundo la Argentina siendo parte de la agenda global.
macri,(APLAUSOS) Por eso estamos tratando de construir leyes -que estamos por aprobar en el Congreso con el apoyo del Gobernador y de muchos otros- que den previsibilidad que le digamos al mundo que tanto el Presidente como los gobernadores vamos a administrarnos con austeridad con cuidado buscando el equilibrio fiscal buscando reducir los impuestos para que ustedes puedan crecer y desarrollarse más.
macri,Todo eso es lo que estamos impulsando desde el valor central y fundamental que es decir la verdad y cuidar a todos para que todos tengamos una oportunidad.
macri,Así que gracias gracias por lo que estamos logrando hoy espero en breve venir acá y terminar de ver cómo este proyecto cambió la historia y no da tranquilidad porque esto va a permitir acompañar el crecimiento de San Francisco en los próximos treinta años Así es como hay que proyectar: hacer obras que nos permitan ver hacia dónde vamos no el año que viene sino en los próximos veinte y treinta años.
macri,¡Fuerza Córdoba! ¡Los amo!
macri,¡Gracias y a seguir trabajando juntos! (APLAUSOS)
macri,Buenos días queridos jujeños.
macri,Estoy realmente feliz de estar nuevamente acá principalmente porque me hacen sentir un jujeño más y eso lo valoro muchísimo.
macri,Querido Gobernador que compartimos esta maravillosa tarea de trabajar juntos por ese país que todos soñamos.
macri,Charly todos los directivos de Ledesma Intendenta autoridades.
macri,Si estoy acá si estoy feliz de estar acá es porque creo en todos ustedes y me desvela lograr que cada argentino desde Tierra del Fuego hasta Jujuy pueda elegir.
macri,Recién hablábamos con Juana e Isabel que me recibieron en su casa muy gentilmente con sus diez hijos.
macri,Yo les decía “qué loco diez hijos con lo difícil que es educar hoy” va a tener que tener mucho apoyo y acompañamiento de Dios ¿no es cierto Padre?
macri,Pero lo que soñábamos con ellos es que esta Argentina que se está poniendo en marcha le dé la posibilidad de elegir a cada uno donde quiera vivir donde quiera trabajar lo que quiera estudiar porque esa elección en libertad es el paso fundamental que uno da en la construcción de una vida en armonía con familia con amor en la búsqueda de la felicidad.
macri,Y claramente sí que podemos tenemos todos los recursos para hacerlo y tenemos lo más valioso que somos nosotros cada uno de ustedes con su capacidad con su creatividad con su talento.
macri,Por eso cuando digo trabajemos juntos por una Argentina con pobreza cero que derrote al narcotráfico que esté unida lo digo en serio cada uno de ustedes tiene que ser protagonista la Argentina los necesita yo los necesito necesito a cada jujeño comprometido.
macri,Y esto lo sentimos en todo el país y parece ayer querido Gerardo cuando recorriendo el país me recibieron Vivi y Flor en su casa en Amaicha un lugar mágico de Tucumán y me dijeron “en el norte argentino somos muchos los que queremos trabajar.
macri,Somos muchos los que tenemos ideas iniciativas pero necesitamos que nos escuchen” -y me quedó grabado por eso lo traigo hoy- “pero no oídos en la cabeza oídos en el corazón”.
macri,Y yo estoy acá para decirles que los escucho con el corazón y quiero que trabajemos juntos por esa Argentina que todos merecemos.
macri,Y por eso pusimos en marcha el Plan Belgrano que es un plan de reparación histórico para este gran norte argentino este norte que tiene mucho de nuestros valores de nuestra identidad de nuestra cultura y que durante décadas la Argentina le ha dado la espalda.
macri,Y este Plan Belgrano se compromete con la construcción de infraestructura social y productiva desde más de mil jardines de infantes y espacios para la primera infancia a reparar y poner en marcha como corresponde el Belgrano Cargas para que la producción de todos los jujeños y de todo el norte argentino llegue a los puertos y gane los mercados del mundo.
macri,Ya estamos en marcha estamos trabajando a toda velocidad como también en la Autovía de la 9 y de la 34 que conectan el norte entre sí y el norte con el resto del país para cuidar la vida de los jujeños de los salteños de los tucumanos de los santiagueños que buscando llevar su producción muchas veces se encuentran con la tragedia de una Ruta que no da abasto para transportar lo poco que hacemos hoy y aspiramos a producir muchísimo más.
macri,Por eso les digo que estamos comprometidos a hacer obras obras que signifiquen alegría transformación oportunidades.
macri,Obras que dejen de ser sinónimo de corrupción sino que sean sinónimo de futuro.
macri,Y hablando de obras queridos amigos de Ledesma felicitarlos por esta maravilla estas mil soluciones que son mil historias son miles de padres de hijos que son mucho más que cuatro paredes son el lugar donde se reúnen las familias donde se comparten las esperanzas las ilusiones que tenemos por nuestro futuro.
macri,Por eso gracias por haberme invitado a compartir este momento de entregarle su escritura a Juan e Isabel con todo el amor que están poniendo en todos sus hijos a pesar de que Juan siendo hincha de Boca ha dejado que la mitad se transforme en hinchas de River.
macri,No sé qué le ha pasado a Juan.
macri,Yo lo tomo como que es la buena influencia del “burrito” Ortega que fue un gran ídolo de River y de los jujeños por eso te perdono Juan.
macri,Permitime que te entregue a vos y a tu maravillosa mujer que tiene tanta alegría esta escritura gigante para que la cuelgues en la pared.
macri,Y a la familia Suárez le vamos a entregar la llave de su casa también con la mamá que vino con ese peinado que se hizo para el día que está muy bien muy lindo.
macri,Gracias de vuelta Ledesma gracias por el compromiso que están asumiendo de nuevas inversiones que traerá nuevos trabajos ese trabajo que tanto dignifica la vida de todos nosotros.
macri,Quiero terminar como empecé: diciéndoles que confío en ustedes.
macri,Jamás les hubiese pedido que me acompañen para ser Presidente si no creyese que tenemos un gran futuro por delante.
macri,Sé que este sinceramiento de la economía ha sido una pesada carga para muchos pero créanme que cada medida la he impulsado pensando en el futuro de ustedes.
macri,Sé que juntos poniendo lo que cada uno tiene y va a poner tenemos un gran porvenir.
macri,Les pido que confíen pero que confíen principalmente en ustedes mismos en lo que ustedes pueden hacer porque ahí está la verdadera fuerza de la Argentina.
macri,Y acá con el Gobernador les decimos: ¡se terminó el abandono para Jujuy se terminó el abandono para el norte argentino!¡Vamos juntos es acá es ahora como gritaba en el cierre de Humahuaca.
macri,Sí se puede sí se puede.
macri,Vamos Jujuy vamos el Norte vamos Argentina!
macri,Gracias gracias de corazón.
macri,Nos vemos muy pronto.
macri,Gracias “Gringo” gracias Ramón por recibirme una vez más.
macri,Realmente siempre es lindo estar cerca de los cordobeses sobre todo por la enorme autoestima que tienen eso contagia; habrán notado que el gobernador dijo: “tal vez los cordobeses antes que el resto del país”.
macri,Por suerte los tenemos en el medio no tienen mar si no se hubiesen independizado hace rato.
macri,Pero la verdad es que suscribo casi todas las palabras diría todas las palabras que dijo el Gobernador que dijo Eduardo Eurnekian diría que habiendo pasado ya más de siete meses desde el 10 de diciembre hoy estoy más entusiasmado que nunca más esperanzado de lo que me había imaginado el primer día respecto de nuestras posibilidades de nuestro futuro; porque si me propuse ayudar es porque creo en cada argentino en la capacidad de cada uno de nosotros de hacer de emprender.
macri,Lo que he ido descubriendo en estos meses es mucho más de lo que pude imaginar.
macri,Siento que tenemos un nivel de crecimiento como comunidad de entendimiento que es maravilloso porque hay que enfrentar la verdad como lo estamos haciendo en nuestro país porque la verdad claramente es exigente muchas veces es dura pasa en los senos familiares cuando descubrimos algo que estaba siempre queriéndose tapar y eso provoca dolor pero siempre provoca crecimiento.
macri,Y como decía el “Gringo” estos meses hemos ido descubriendo cosas que habíamos percibido habíamos visto pero no queríamos realmente aceptar y nos han shockeado nos han indignado muchos casos pero también nos han hecho asumir un nuevo nivel de compromiso.
